time,pAtm,lon,lat,TDewPoi,HDirNor,HDifHor,HGloHor,relHum,nTot,ceiHei,winSpe,winDir,nOpa,TBlaSky,HHorIR,cloTim,solZen,solAlt,solDec,solTim,solHouAng,TDryBul,TWetBul
27667800.0,101325.0,0.07906341511534314,0.8883725892651138,278.95,0.0,0.0,0.0,0.97,0.9500000000000001,1395.0,0.975743006993007,5.050546522958591,0.9,272.1787378783335,311.0104166666667,27667800.0,1.985310217356343,-0.4145138905614465,-0.3340705127448233,27666141.27121555,2008.7969761155807,279.34999999999997,279.13194618215584
27668700.0,101325.0,0.07906341511534314,0.8883725892651138,278.95401785714284,0.0,0.0,0.0,0.97,0.984375,1322.8125,0.7281195367132868,5.0491829844804705,0.9,272.1833240322456,311.03515625,27668700.0,1.9441306046689881,-0.37333427787409157,-0.3341132800107484,27667041.120663475,2008.8624150140743,279.35375,279.1356645944625
27669600.0,101325.0,0.07906341511534314,0.8883725892651138,278.95,0.0,0.0,0.0,0.97,1.0,1290.0,0.5,5.061454830783556,0.9,272.1787378783335,311.0,27669600.0,1.9031071871982295,-0.3323108604033329,-0.33415603676526096,27667940.970031817,2008.927853906781,279.34999999999997,279.13194618215584
27670500.0,101325.0,0.07906341511534314,0.8883725892651138,278.9006138392857,0.0,0.0,0.0,0.97,1.0,1290.0,0.46136363636363636,5.092816215780329,0.9,272.13317507262275,310.8125,27670500.0,1.8623375975036975,-0.291541270708801,-0.3341987830065974,27668840.819320593,2008.993292793701,279.315,279.097240956708
27671400.0,101325.0,0.07906341511534314,0.8883725892651138,278.8040178571428,0.0,0.0,0.0,0.97,1.0,1290.0,0.6545454545454545,5.137812985558307,0.9,272.04742400846783,310.5,27671400.0,1.8219170438179006,-0.2511207170230041,-0.3342415187329953,27669740.66852982,2009.0587316748363,279.25,279.03278818334746
27672300.0,101325.0,0.07906341511534314,0.8883725892651138,278.70541294642857,0.0,0.0,0.0,0.97,1.0,1290.0,0.8954545454545452,5.188263909248769,0.9,271.96120343459575,310.1875,27672300.0,1.7819394801323527,-0.21114315333745615,-0.3342842439426926,27670640.517659504,2009.1241705501873,279.185,278.9683351318851
27673200.0,101325.0,0.07906341511534314,0.8883725892651138,278.65,0.0,0.0,0.0,0.97,1.0,1290.0,1.0,5.235987755982989,0.9,271.91423709830303,310.0,27673200.0,1.7424986294284186,-0.17170230263352204,-0.33432695863392686,27671540.36670966,2009.1896094197546,279.15,278.9336295263088
27674100.0,101325.0,0.07906341511534314,0.8883725892651138,278.68984374999997,0.0,0.0,0.0,0.97,1.0,1290.0,0.884375,5.279620987282847,0.9,271.94541042933866,310.1,27674100.0,1.7036888764729956,-0.13289254967809905,-0.3343696628049364,27672440.21568031,2009.2550482835402,279.17249999999996,278.95594028214134
27675000.0,101325.0,0.07906341511534314,0.8883725892651138,278.79999999999995,0.0,0.0,0.0,0.97,1.0,1290.0,0.675,5.323254218582705,0.9,272.03350168632875,310.43333333333334,27675000.0,1.6656060404645345,-0.09480971366963797,-0.33441235645395956,27673340.06457146,2009.3204871415444,279.2366666666666,279.0195670673645
27675900.0,101325.0,0.07906341511534314,0.8883725892651138,278.91015625,0.0,0.0,0.0,0.97,1.0,1290.0,0.5031250000000002,5.366887449882563,0.9,272.12808268242196,310.8,27675900.0,1.6283480317515124,-0.05755170495661588,-0.3344550395792352,27674239.913383126,2009.385925993768,279.3075,279.0898041123324
27676800.0,101325.0,0.07906341511534314,0.8883725892651138,278.95,0.0,0.0,0.0,0.97,1.0,1290.0,0.5,5.410520681182422,0.9,272.1787378783335,311.0,27676800.0,1.5920153908970522,-0.021219064102155683,-0.33449771217900176,27675139.76211532,2009.4513648402126,279.34999999999997,279.13194618215584
27677700.0,101325.0,0.07906341511534314,0.8883725892651138,278.91236979166666,0.0,0.0,0.0,0.97,1.0,1318.7309451219512,0.625,5.433987896042707,0.9,272.1547806659673,310.778125,27677700.0,1.5567117025265957,0.014084624268300816,-0.33454037425149913,27676039.610768057,2009.5168036808789,279.33437499999997,279.11645278775296
27678600.0,101325.0,0.07906341511534314,0.8883725892651138,278.8517361111111,0.0,0.0,0.0,0.97,1.0,1384.1158536585365,0.75,5.429466689509992,0.9,272.09097718493683,310.275,27678600.0,1.5225438707841945,0.04825245601070205,-0.3345830257949664,27676939.45934135,2009.5822425157678,279.2833333333333,279.0658409221705
27679500.0,101325.0,0.07906341511534314,0.8883725892651138,278.79023437499995,0.0,0.06249999999999992,0.06249999999999992,0.97,1.0,1454.9428353658536,0.875,5.415472478813491,0.9,272.03509034219405,309.884375,27679500.0,1.4896222380191477,0.08117408877574883,-0.3346256668076428,27677839.307835218,2009.6476813448805,279.24062499999997,279.0234920873949
27680400.0,101325.0,0.07906341511534314,0.8883725892651138,278.75,0.0,0.833333333333333,0.833333333333333,0.97,1.0,1500.0,1.0,5.410520681182422,0.9,272.034879296805,310.0,27680400.0,1.4580605238410382,0.11273580295385832,-0.33466829728776903,27678739.156249665,2009.7131201682178,279.25,279.03278818334746
27681300.0,101325.0,0.07906341511534314,0.8883725892651138,278.7333333333333,0.0,3.1874999999999996,3.1874999999999996,0.9662073863636365,0.984375,1428.4756097560976,1.13671875,5.550103962232132,0.9,272.10517604614427,310.5,27681300.0,1.427975558392347,0.14282076840254954,-0.3347109172335847,27679639.004584715,2009.7785589857813,279.32613636363635,279.08063786503175
27682200.0,101325.0,0.07906341511534314,0.8883725892651138,278.72777777777776,0.0,8.0,8.0,0.9573863636363636,0.9500000000000001,1245.0,1.28125,5.849723601503363,0.9,272.2112623826518,311.0,27682200.0,1.3994867822390598,0.1713095445558368,-0.3347535266433305,27680538.852840375,2009.8439977975713,279.43636363636364,279.12515053472066
27683100.0,101325.0,0.07906341511534314,0.8883725892651138,278.7333333333333,0.0,15.15296052631579,15.15296052631579,0.9473721590909091,0.915625,1061.5243902439024,1.41015625,6.147907937113414,0.9,272.3265734644815,311.5,27683100.0,1.372715486433998,0.19808084036089846,-0.3347961255152471,27681438.70101666,2009.909436603589,279.55340909090904,279.1668820011586
27684000.0,101325.0,0.07906341511534314,0.8883725892651138,278.75,0.0,23.574561403508774,23.574561403508774,0.9400000000000001,0.9,990.0,1.5,6.283185307179586,0.9,272.4245442984835,312.0,27684000.0,1.3477837709569067,0.22301255583798985,-0.3348387138475757,27682338.549113583,2009.9748754038353,279.65,279.20731241777975
27684900.0,101325.0,0.07906341511534314,0.8883725892651138,278.819375,0.0,32.70888157894737,32.70888157894737,0.9399090909090909,0.9,1081.9321646341464,1.53515625,5.410520681182422,0.9,272.49337421279375,312.5,27684900.0,1.3248132086695317,0.24598311812536489,-0.33488129163855673,27683238.397131164,2010.0403141983115,279.7040909090909,279.25980514519085
27685800.0,101325.0,0.07906341511534314,0.8883725892651138,278.94611111111107,0.0,42.0,42.0,0.9453636363636363,0.9,1255.8841463414633,1.53125,3.4906585039886595,0.9,272.5516220783841,313.0,27685800.0,1.3039232157617693,0.2668731110331273,-0.3349238588864327,27684138.245069407,2010.1057529870184,279.7336363636363,279.32947507178045
27686700.0,101325.0,0.07906341511534314,0.8883725892651138,279.07479166666667,0.0,51.35645933014354,51.35645933014354,0.9506363636363636,0.9,1424.3940548780488,1.51171875,1.5707963267948966,0.9,272.61827743371674,313.5,27686700.0,1.285229148504778,0.2855671782901186,-0.33496641558944473,27685038.092928335,2010.1711917699574,279.7713636363636,279.40590079984827
27687600.0,101325.0,0.07906341511534314,0.8883725892651138,279.15,0.0,60.933014354066984,60.933014354066984,0.9500000000000001,0.9,1500.0,1.5,0.6981317007977318,0.9,272.71237058894405,314.0,27687600.0,1.268840169351355,0.30195615744354165,-0.33500896174583444,27685937.94070796,2010.2366305471287,279.84999999999997,279.4786844985513
27688500.0,101325.0,0.07906341511534314,0.8883725892651138,279.12093749999997,0.0,70.54306220095694,70.54306220095694,0.937375,0.9,1500.0,1.5,0.6981317007977318,0.9,272.86292911262507,314.65625,27688500.0,1.2548569514073065,0.3159393753875901,-0.33505149735384493,27686837.788408287,2010.3020693185338,280.01142857142855,279.5427957548788
27689400.0,101325.0,0.07906341511534314,0.8883725892651138,279.0175,0.0,80.0,80.0,0.9159999999999999,0.9,1500.0,1.5,0.6981317007977318,0.9,273.0588178213221,315.5,27689400.0,1.2433693163784536,0.32742701041644295,-0.335094022411718,27687737.63602934,2010.367508084174,280.2371428571428,279.6015388588807
27690300.0,101325.0,0.07906341511534314,0.8883725892651138,278.9053125,0.0,88.51053215077606,88.51053215077606,0.894125,0.9,1500.0,1.5,0.6981317007977318,0.9,273.25887657062935,316.34375,27690300.0,1.234453923642478,0.3363424031524185,-0.33513653691769657,27688637.48357113,2010.43294684405,280.4692857142857,279.6589588828916
27691200.0,101325.0,0.07906341511534314,0.8883725892651138,278.84999999999997,0.0,95.54323725055433,95.54323725055433,0.88,0.9,1500.0,1.5,0.6981317007977318,0.9,273.4220432005492,317.0,27691200.0,1.2281721430321824,0.3426241837627142,-0.3351790408700239,27689537.33103367,2010.4983855981627,280.65,279.7236852999711
27692100.0,101325.0,0.07906341511534314,0.8883725892651138,278.905,0.0,101.30432372505544,101.30432372505544,0.8757102272727274,0.9,1500.0,1.7734375,0.6981317007977318,0.9,273.56405270327707,317.5,27692100.0,1.2245682474176414,0.3462280793772552,-0.3352215342669429,27690437.178416975,2010.563824346513,280.78258928571427,279.8178505417177
27693000.0,101325.0,0.07906341511534314,0.8883725892651138,279.02666666666664,0.0,106.0,106.0,0.8752272727272726,0.9,1500.0,2.3625,0.6981317007977318,0.9,273.71611384248706,318.0,27693000.0,1.2236680506128483,0.3471282761820482,-0.335264017106697,27691337.02572106,2010.6292630891028,280.90952380952376,279.9363546918006
